,Dt_Customer,Age,Marital_Status,total_number_of_children,Income,total_spending,total_number_of_purches,NumDealsPurchases,first_day,day_engaged
61,2012-07-09,39,relationship,2,66653,612,22,4,2015-01-01,906
62,2013-02-18,62,Single,1,61823,884,24,4,2015-01-01,682
63,2013-11-06,63,Single,1,67680,606,19,1,2015-01-01,421
64,2013-06-12,66,relationship,0,70666,1076,16,1,2015-01-01,568
65,2013-05-21,43,relationship,1,25721,34,5,1,2015-01-01,590
66,2014-11-05,47,relationship,2,32474,11,4,1,2015-01-01,57
67,2014-03-19,35,Single,1,88194,1274,32,1,2015-01-01,288
68,2013-09-27,56,relationship,1,69096,653,18,1,2015-01-01,461
69,2013-08-04,44,relationship,3,74854,1562,19,7,2015-01-01,515
70,2012-11-09,60,relationship,0,66991,1253,21,3,2015-01-01,783
72,2013-03-17,55,relationship,1,65031,863,30,4,2015-01-01,655
73,2013-05-04,39,relationship,2,60631,661,24,5,2015-01-01,607
74,2014-04-30,62,relationship,0,28332,65,8,1,2015-01-01,246
75,2012-12-19,37,Single,1,40246,13,4,1,2015-01-01,743
76,2012-08-27,42,relationship,0,75251,1890,19,1,2015-01-01,857
77,2012-12-10,38,Single,0,75825,2209,22,0,2015-01-01,752
78,2013-04-09,38,relationship,0,26326,18,4,1,2015-01-01,632
79,2013-02-01,49,relationship,0,56046,692,21,2,2015-01-01,699
80,2012-08-29,29,Single,1,29760,165,12,4,2015-01-01,855
81,2013-06-23,45,relationship,1,26304,16,4,1,2015-01-01,557
82,2013-03-07,41,relationship,1,23559,79,9,3,2015-01-01,665
83,2013-11-05,51,relationship,0,38620,318,11,1,2015-01-01,422
84,2014-02-25,27,Single,0,81361,778,27,1,2015-01-01,310
85,2013-11-08,54,relationship,2,29440,56,7,2,2015-01-01,419
86,2013-07-16,44,relationship,2,36138,151,13,5,2015-01-01,534
87,2014-05-28,57,Single,1,50388,372,17,4,2015-01-01,218
88,2014-12-05,41,relationship,0,79593,1366,19,1,2015-01-01,27
89,2014-01-21,47,relationship,1,54178,194,10,1,2015-01-01,345
93,2014-03-23,42,Single,1,42394,32,5,1,2015-01-01,284
94,2014-05-24,44,relationship,1,23626,43,10,3,2015-01-01,222
95,2014-05-22,31,relationship,1,30096,45,6,1,2015-01-01,224
96,2012-11-22,54,Single,1,47916,606,22,5,2015-01-01,770
97,2013-11-04,42,Single,2,51813,63,7,2,2015-01-01,423
98,2013-01-12,63,relationship,0,78497,978,25,1,2015-01-01,719
99,2013-06-20,31,relationship,0,50150,410,16,2,2015-01-01,560
100,2013-07-23,54,Single,1,47823,72,7,2,2015-01-01,527
101,2014-03-30,55,Single,1,34554,55,7,2,2015-01-01,277
102,2013-04-20,35,relationship,1,85693,1169,27,2,2015-01-01,621
103,2013-05-17,69,relationship,0,65846,1120,16,1,2015-01-01,594
104,2014-08-05,55,relationship,0,87195,1097,20,1,2015-01-01,149
105,2013-10-12,35,relationship,1,24594,29,5,1,2015-01-01,446
106,2013-09-24,50,relationship,2,49096,187,13,4,2015-01-01,464
107,2013-02-02,45,relationship,2,52413,910,26,4,2015-01-01,698
108,2012-12-19,36,Single,1,38557,145,9,2,2015-01-01,743
109,2012-07-12,54,relationship,0,89058,850,14,1,2015-01-01,903
110,2013-02-11,35,relationship,1,77298,969,24,1,2015-01-01,689
111,2012-10-11,23,Single,0,68126,1820,17,1,2015-01-01,812
112,2014-06-25,51,relationship,1,57288,608,20,3,2015-01-01,190
113,2013-02-01,23,Single,0,86037,730,25,1,2015-01-01,699
114,2012-12-12,34,relationship,1,43974,551,21,5,2015-01-01,750
115,2013-10-09,52,Single,2,50785,114,8,2,2015-01-01,449
116,2014-01-24,44,relationship,0,90765,1724,15,0,2015-01-01,342
117,2013-02-19,36,relationship,1,36550,577,20,5,2015-01-01,681
118,2013-11-07,47,relationship,2,30753,81,7,2,2015-01-01,420
119,2013-11-14,45,relationship,1,21918,33,7,2,2015-01-01,413
120,2013-06-20,61,relationship,1,56129,660,22,4,2015-01-01,560
121,2014-02-24,47,Single,1,32557,80,9,3,2015-01-01,311
122,2013-04-09,29,relationship,2,19510,30,6,2,2015-01-01,632
123,2013-04-22,38,Single,1,30992,43,5,1,2015-01-01,619
124,2013-12-03,31,Single,0,101970,1135,27,0,2015-01-01,394
125,2013-02-18,49,relationship,0,71488,559,16,2,2015-01-01,682
126,2013-04-21,30,Single,0,79607,1923,16,1,2015-01-01,620
127,2014-08-06,61,relationship,2,54348,90,8,2,2015-01-01,148
129,2014-10-05,58,relationship,2,77376,661,23,4,2015-01-01,88
130,2013-09-30,62,relationship,1,62998,463,19,5,2015-01-01,458
131,2013-10-03,56,Single,2,61331,632,23,5,2015-01-01,455
132,2014-10-02,45,relationship,0,73448,725,19,1,2015-01-01,91
134,2013-08-14,50,relationship,2,41551,279,16,5,2015-01-01,505
135,2013-03-17,47,relationship,0,62981,1482,23,1,2015-01-01,655
136,2012-08-08,38,Single,1,9548,29,6,2,2015-01-01,876
137,2013-07-07,55,relationship,3,33762,106,9,3,2015-01-01,543
138,2014-05-19,41,Single,2,35860,49,6,2,2015-01-01,227
139,2013-07-28,49,Single,2,36921,38,7,2,2015-01-01,522
140,2012-10-19,22,Single,0,92859,2077,22,1,2015-01-01,804
141,2013-11-14,38,relationship,1,65104,1053,17,2,2015-01-01,413
142,2013-04-19,52,relationship,0,86111,1385,23,1,2015-01-01,622
143,2013-08-28,40,Single,1,68352,871,25,3,2015-01-01,491
144,2013-03-19,26,relationship,1,41883,312,12,3,2015-01-01,653
145,2012-10-18,38,relationship,2,59809,877,15,3,2015-01-01,805
146,2012-10-28,39,relationship,1,23957,68,6,1,2015-01-01,795
147,2013-08-28,33,relationship,1,38547,22,4,1,2015-01-01,491
148,2012-08-22,41,relationship,3,35688,211,16,7,2015-01-01,862
149,2014-06-21,48,relationship,0,49605,127,8,1,2015-01-01,194
150,2014-04-24,61,relationship,2,59354,459,16,1,2015-01-01,252
151,2014-07-03,45,relationship,1,65747,460,19,4,2015-01-01,182
152,2012-12-14,42,relationship,1,46344,429,17,4,2015-01-01,748
153,2014-12-05,26,Single,1,34176,89,11,4,2015-01-01,27
154,2012-09-10,62,relationship,1,61010,1021,26,2,2015-01-01,843
155,2013-02-19,65,relationship,0,69372,1381,21,1,2015-01-01,681
156,2013-08-07,56,Single,1,49967,306,15,3,2015-01-01,512
157,2013-12-09,36,Single,3,60199,18,4,1,2015-01-01,388
158,2013-10-17,37,relationship,1,55375,162,9,1,2015-01-01,441
159,2013-08-20,59,Single,0,80317,1231,18,1,2015-01-01,499
160,2013-01-07,56,Single,3,30523,13,4,1,2015-01-01,724
161,2012-05-11,69,relationship,0,70356,1706,27,2,2015-01-01,965
162,2014-05-01,30,relationship,1,23228,121,11,4,2015-01-01,245
163,2013-01-05,39,Single,0,74165,1293,20,1,2015-01-01,726
164,2014-01-03,41,relationship,1,157243,1608,37,15,2015-01-01,363
165,2013-11-13,48,relationship,3,43482,88,9,3,2015-01-01,414
166,2013-11-18,61,Single,0,62551,421,18,1,2015-01-01,409
167,2013-08-28,55,Single,0,52332,259,12,1,2015-01-01,491
168,2013-02-11,26,Single,0,66951,1117,15,1,2015-01-01,689
169,2014-02-25,57,relationship,2,26091,89,9,3,2015-01-01,310
170,2014-04-21,49,relationship,2,33456,36,6,2,2015-01-01,255
171,2013-07-13,32,relationship,1,28718,57,7,2,2015-01-01,537
172,2014-04-21,44,relationship,2,50447,148,8,1,2015-01-01,255
173,2014-01-30,55,relationship,2,53537,93,8,2,2015-01-01,336
174,2014-04-04,47,Single,1,52074,119,7,1,2015-01-01,272
175,2012-12-09,39,relationship,1,80427,1835,28,1,2015-01-01,753
176,2012-12-16,66,relationship,0,83837,1318,25,1,2015-01-01,746
177,2014-05-23,44,relationship,2,38853,45,7,2,2015-01-01,223
178,2014-06-24,55,relationship,3,38285,10,4,1,2015-01-01,191
179,2013-01-12,63,relationship,0,78497,978,25,1,2015-01-01,719
180,2014-11-05,38,relationship,1,51650,191,10,1,2015-01-01,57
181,2014-10-05,26,relationship,1,16248,57,9,3,2015-01-01,88
182,2013-09-28,68,relationship,0,66835,1033,24,1,2015-01-01,460
183,2014-01-22,30,relationship,1,30477,66,6,1,2015-01-01,344
184,2014-06-15,53,relationship,0,28249,43,6,1,2015-01-01,200
185,2012-05-12,31,relationship,1,25271,50,5,1,2015-01-01,964
186,2014-08-03,44,Single,1,32303,39,7,2,2015-01-01,151
187,2013-02-08,48,relationship,1,61286,608,18,2,2015-01-01,692
188,2013-03-19,38,relationship,0,74068,1581,24,1,2015-01-01,653
189,2013-02-23,50,relationship,2,45759,68,7,2,2015-01-01,677
190,2012-09-09,36,relationship,1,24882,80,5,1,2015-01-01,844
191,2013-05-17,25,relationship,0,66973,1282,28,1,2015-01-01,594
192,2013-09-26,114,Single,1,36640,65,6,1,2015-01-01,462
193,2013-05-30,26,relationship,1,38872,91,8,2,2015-01-01,581
194,2013-02-18,41,relationship,2,51148,315,16,4,2015-01-01,682
195,2013-12-29,37,relationship,2,31353,31,6,2,2015-01-01,368
196,2014-05-13,34,relationship,0,69661,834,23,1,2015-01-01,233
197,2013-09-19,60,relationship,0,80067,1600,17,1,2015-01-01,469
198,2013-01-17,60,relationship,0,86718,1270,17,1,2015-01-01,714
199,2014-03-31,41,Single,2,46854,263,15,6,2015-01-01,276
200,2014-06-29,62,Single,1,69142,535,19,3,2015-01-01,186
201,2013-09-12,46,Single,0,75922,1295,18,1,2015-01-01,476
202,2013-10-14,36,Single,1,63693,1150,29,3,2015-01-01,444
203,2012-02-11,37,relationship,0,102160,1240,26,0,2015-01-01,1055
204,2013-07-17,49,Single,2,40637,38,6,2,2015-01-01,533
205,2012-10-11,30,Single,0,18890,35,4,1,2015-01-01,812
206,2013-08-12,26,relationship,1,29604,53,5,1,2015-01-01,507
207,2013-05-13,51,Single,2,48721,293,17,6,2015-01-01,598
208,2014-08-06,48,relationship,1,44794,65,6,1,2015-01-01,148
209,2012-10-09,60,Single,1,64497,1804,29,5,2015-01-01,814
210,2013-03-31,58,relationship,1,46097,241,15,5,2015-01-01,641
211,2014-03-18,60,relationship,0,77972,1101,20,1,2015-01-01,289
212,2012-05-10,46,relationship,2,44377,264,19,8,2015-01-01,966
213,2013-01-21,40,relationship,2,46014,541,26,10,2015-01-01,710
214,2013-04-05,29,relationship,0,70951,1198,17,1,2015-01-01,636
215,2014-01-04,37,relationship,1,41443,482,20,6,2015-01-01,362
216,2014-12-05,36,Single,3,52195,17,4,1,2015-01-01,27
217,2013-11-15,66,relationship,0,83790,1615,25,1,2015-01-01,412
218,2013-08-31,60,Single,1,44551,285,12,2,2015-01-01,488
219,2012-11-14,34,relationship,1,69508,1135,28,2,2015-01-01,778
220,2014-11-04,26,relationship,1,45204,114,7,1,2015-01-01,58
221,2013-11-14,45,relationship,0,72460,1047,16,1,2015-01-01,413
222,2014-04-14,44,relationship,2,77622,714,22,2,2015-01-01,262
223,2013-05-01,34,relationship,1,30732,185,13,4,2015-01-01,610
224,2012-08-09,52,Single,1,63887,1245,32,5,2015-01-01,875
225,2013-03-26,36,relationship,1,42011,189,12,4,2015-01-01,646
226,2012-10-25,38,relationship,1,51369,576,16,2,2015-01-01,798
227,2012-09-12,62,Single,1,51537,1103,18,3,2015-01-01,841
228,2012-08-08,42,relationship,0,79930,1753,17,1,2015-01-01,876
229,2014-02-16,28,relationship,1,34320,17,4,1,2015-01-01,319
230,2013-03-20,48,Single,2,37070,433,23,9,2015-01-01,652
231,2013-05-01,52,Single,1,81975,1588,14,1,2015-01-01,610
232,2013-05-15,43,relationship,1,38590,22,4,1,2015-01-01,596
233,2014-04-16,63,Single,0,15033,19,5,1,2015-01-01,260
234,2013-03-23,49,relationship,1,62745,1117,29,3,2015-01-01,649
235,2013-09-12,39,relationship,1,22212,69,8,2,2015-01-01,476
236,2013-04-12,32,relationship,1,23661,23,5,1,2015-01-01,629
237,2013-04-10,56,Single,1,79761,605,19,1,2015-01-01,631
238,2013-12-26,41,Single,1,7500,57,11,4,2015-01-01,371
239,2014-05-17,121,Single,1,60182,22,4,1,2015-01-01,229
240,2013-10-28,46,Single,0,73455,2088,22,1,2015-01-01,430
241,2012-12-23,56,relationship,1,64961,1009,16,2,2015-01-01,739
242,2013-07-31,43,Single,1,22804,26,5,1,2015-01-01,519
243,2013-11-28,24,relationship,0,73687,1627,22,1,2015-01-01,399
244,2012-08-17,56,relationship,1,61074,1102,31,7,2015-01-01,867
245,2014-05-06,50,relationship,2,31686,17,6,2,2015-01-01,240
246,2013-05-20,42,relationship,1,80134,1690,16,2,2015-01-01,591
247,2013-09-01,61,relationship,1,75027,1390,21,2,2015-01-01,487
248,2012-08-31,26,relationship,0,67546,2126,20,1,2015-01-01,853
249,2012-10-29,45,relationship,1,65176,1531,25,4,2015-01-01,794
250,2013-09-16,39,Single,1,31160,64,7,2,2015-01-01,472
251,2013-10-27,29,Single,1,29938,26,6,2,2015-01-01,431
252,2013-05-04,40,Single,0,102692,1112,29,1,2015-01-01,607
253,2012-09-22,56,relationship,0,26490,210,11,2,2015-01-01,831
254,2012-08-29,47,relationship,2,75702,1148,26,5,2015-01-01,855
255,2012-10-13,40,Single,1,30899,33,6,2,2015-01-01,810
256,2012-10-16,53,relationship,1,63342,1101,19,3,2015-01-01,807
257,2012-10-22,50,Single,1,45989,322,16,4,2015-01-01,801
258,2013-04-06,50,Single,2,18701,44,10,4,2015-01-01,635
259,2013-08-12,57,Single,3,40737,17,4,1,2015-01-01,507
260,2012-10-10,35,Single,1,15287,31,6,2,2015-01-01,813
261,2013-05-22,46,Single,2,69674,845,25,3,2015-01-01,589
262,2014-06-17,44,relationship,1,44159,275,15,4,2015-01-01,198
263,2012-11-23,36,relationship,1,37717,25,4,1,2015-01-01,769
264,2013-03-02,62,relationship,2,43776,275,17,6,2015-01-01,670
265,2013-03-14,48,relationship,2,38179,90,11,4,2015-01-01,658
266,2014-06-26,51,relationship,0,80124,1495,19,1,2015-01-01,189
267,2012-10-15,44,relationship,2,38097,184,11,4,2015-01-01,808
268,2013-06-19,44,relationship,0,72940,981,13,1,2015-01-01,561
269,2013-04-10,44,relationship,1,22070,67,8,2,2015-01-01,631
270,2012-09-22,61,Single,0,69267,1635,14,2,2015-01-01,831
271,2014-03-20,31,Single,1,31788,60,10,3,2015-01-01,287
272,2014-04-02,39,relationship,1,61905,231,12,2,2015-01-01,274
273,2014-06-04,54,relationship,2,29315,48,10,4,2015-01-01,211
274,2013-06-02,51,Single,2,33378,99,9,3,2015-01-01,578
275,2013-09-16,51,relationship,1,66313,770,23,2,2015-01-01,472
276,2013-01-17,58,Single,0,60714,957,23,2,2015-01-01,714
277,2014-04-30,33,relationship,0,77882,818,12,1,2015-01-01,246
278,2013-02-04,28,Single,0,69867,925,17,1,2015-01-01,696
279,2013-04-21,46,Single,1,63841,908,22,1,2015-01-01,620
280,2013-11-02,33,relationship,1,24480,102,10,3,2015-01-01,425
281,2012-10-25,38,relationship,1,51369,576,16,2,2015-01-01,798
282,2012-08-31,68,relationship,0,37760,317,13,2,2015-01-01,853
283,2014-01-03,40,relationship,1,65640,461,15,1,2015-01-01,363
284,2014-04-17,39,relationship,2,44319,37,7,2,2015-01-01,259
285,2013-12-07,40,relationship,1,30631,70,7,1,2015-01-01,390
286,2013-01-29,62,relationship,0,75278,930,23,1,2015-01-01,702
287,2013-08-01,58,relationship,2,50898,859,33,13,2015-01-01,518
288,2014-12-05,48,Single,0,79946,1478,22,1,2015-01-01,27
289,2013-06-13,65,Single,0,35416,390,16,3,2015-01-01,567
290,2013-04-07,30,relationship,0,32414,52,5,1,2015-01-01,634
291,2013-12-27,45,relationship,1,38361,137,10,3,2015-01-01,370
292,2012-10-31,34,relationship,0,82497,1919,19,1,2015-01-01,792
293,2014-01-15,43,relationship,2,16626,68,9,3,2015-01-01,351
294,2013-12-03,49,relationship,2,29672,25,4,1,2015-01-01,394
295,2012-08-23,62,relationship,1,55951,1374,23,3,2015-01-01,861
296,2013-07-03,26,Single,1,35388,32,5,1,2015-01-01,547
297,2013-01-13,28,relationship,1,42386,100,7,1,2015-01-01,718
298,2013-12-01,32,Single,0,68627,825,12,1,2015-01-01,396
299,2014-03-17,49,Single,1,57912,916,28,5,2015-01-01,290
300,2014-04-16,56,Single,2,35246,62,11,4,2015-01-01,260
301,2013-12-10,58,relationship,1,58821,728,21,1,2015-01-01,387
302,2014-01-03,36,relationship,1,46377,90,7,1,2015-01-01,363
303,2014-04-13,26,Single,1,39747,273,13,3,2015-01-01,263
304,2013-12-27,30,relationship,1,23976,66,10,3,2015-01-01,370
305,2013-03-28,53,relationship,0,80950,1213,23,1,2015-01-01,644
306,2012-09-18,48,Single,0,27038,107,7,1,2015-01-01,835
307,2014-05-03,67,Single,0,77457,1157,18,1,2015-01-01,243
308,2013-10-09,50,relationship,1,64100,546,18,1,2015-01-01,449
309,2013-04-27,22,relationship,0,42670,241,11,1,2015-01-01,614
310,2014-01-18,38,Single,1,12571,53,11,4,2015-01-01,348
311,2013-10-28,47,relationship,3,22574,37,7,2,2015-01-01,430
313,2013-06-02,38,Single,0,70893,1508,23,1,2015-01-01,578
314,2013-12-17,48,relationship,2,54198,235,16,6,2015-01-01,380
315,2014-11-03,58,relationship,2,28839,32,7,2,2015-01-01,59
316,2013-07-29,42,relationship,2,40321,102,8,2,2015-01-01,521
317,2012-08-14,29,Single,1,66503,401,15,2,2015-01-01,870
318,2013-07-16,63,relationship,2,30833,28,6,2,2015-01-01,534
320,2013-01-17,43,relationship,1,64795,680,21,3,2015-01-01,714
321,2013-01-07,40,relationship,1,34421,30,4,1,2015-01-01,724
322,2014-09-02,49,Single,2,47025,20,4,1,2015-01-01,121
323,2013-07-02,53,Single,1,64325,1307,23,5,2015-01-01,548
324,2013-11-01,61,Single,1,40464,630,24,6,2015-01-01,426
325,2013-05-07,57,relationship,0,62187,1283,18,1,2015-01-01,604
326,2013-02-07,38,Single,1,14849,65,9,3,2015-01-01,693
327,2013-07-11,30,relationship,1,27255,37,5,1,2015-01-01,539
328,2013-09-05,64,relationship,3,54432,38,5,1,2015-01-01,483
329,2013-02-13,28,Single,1,29999,160,12,4,2015-01-01,687
330,2013-04-16,31,Single,1,24072,23,4,1,2015-01-01,625
331,2013-11-09,25,Single,0,33996,71,6,1,2015-01-01,418
332,2013-03-04,58,relationship,1,66334,1161,19,2,2015-01-01,668
333,2013-10-01,43,relationship,1,35178,59,5,1,2015-01-01,457
334,2013-06-30,31,relationship,1,22010,33,7,2,2015-01-01,550
335,2012-12-09,54,Single,2,62204,946,22,1,2015-01-01,753
336,2012-06-12,46,Single,0,75693,1442,22,1,2015-01-01,933
337,2012-12-11,42,relationship,1,30675,62,5,1,2015-01-01,751
338,2013-03-03,49,relationship,0,83003,1674,22,1,2015-01-01,669
339,2013-09-26,115,relationship,0,83532,1853,15,1,2015-01-01,462
340,2012-10-08,26,Single,0,68655,1538,21,1,2015-01-01,815
341,2013-07-12,28,Single,0,41411,139,8,1,2015-01-01,538
342,2012-11-23,45,relationship,1,55212,1182,20,3,2015-01-01,769
343,2013-06-13,64,relationship,1,59292,507,18,2,2015-01-01,567
344,2013-08-15,41,relationship,1,27190,18,4,1,2015-01-01,504
345,2013-10-11,62,Single,0,82623,940,16,1,2015-01-01,447
346,2013-06-23,49,relationship,2,44300,42,6,2,2015-01-01,557
347,2014-06-16,44,Single,0,84835,1190,15,1,2015-01-01,199
348,2012-12-25,43,Single,2,30372,44,8,3,2015-01-01,737
349,2014-03-01,38,relationship,1,33181,16,4,1,2015-01-01,306
350,2013-12-17,57,relationship,1,71113,835,26,4,2015-01-01,380
351,2013-10-01,28,relationship,1,71952,1443,22,2,2015-01-01,457
352,2013-10-28,48,Single,0,69759,1029,18,3,2015-01-01,430
353,2012-10-27,40,relationship,0,72099,1188,18,1,2015-01-01,796
354,2012-12-22,38,Single,1,60000,1277,24,5,2015-01-01,740
355,2013-11-29,36,Single,2,38643,49,7,2,2015-01-01,398
356,2013-11-05,59,relationship,1,50737,99,7,1,2015-01-01,422
357,2012-12-12,45,relationship,0,68462,1670,15,1,2015-01-01,750
358,2013-08-20,71,relationship,0,65073,900,14,1,2015-01-01,499
359,2013-08-10,66,relationship,2,46681,425,16,2,2015-01-01,509
360,2012-09-28,57,relationship,0,78618,2153,22,1,2015-01-01,825
361,2014-03-22,45,Single,1,62187,636,21,3,2015-01-01,285
362,2014-02-24,36,relationship,2,28442,57,10,3,2015-01-01,311
363,2012-11-23,36,relationship,1,37717,25,4,1,2015-01-01,769
364,2012-12-28,47,relationship,2,51479,494,22,7,2015-01-01,734
365,2012-08-21,45,Single,1,54803,693,19,2,2015-01-01,863
366,2013-05-17,54,relationship,0,79530,1348,26,1,2015-01-01,594
367,2013-03-16,38,Single,1,31615,51,7,2,2015-01-01,656
368,2012-11-17,52,relationship,0,72025,1932,16,1,2015-01-01,775
369,2012-01-12,39,Single,1,52614,990,16,2,2015-01-01,1085
370,2014-04-22,30,relationship,1,35684,30,5,1,2015-01-01,254
371,2012-10-28,39,relationship,2,48178,254,16,6,2015-01-01,795
372,2013-08-29,44,Single,1,29548,29,5,1,2015-01-01,490
373,2012-11-11,48,Single,1,63810,1371,23,4,2015-01-01,781
374,2013-06-22,42,Single,2,38578,73,9,3,2015-01-01,558
375,2012-08-18,39,Single,2,46098,120,11,4,2015-01-01,866
376,2013-03-18,44,Single,0,22585,81,5,1,2015-01-01,654
377,2012-12-30,25,Single,1,30279,37,5,1,2015-01-01,732
378,2013-02-10,53,relationship,1,66426,1377,20,2,2015-01-01,690
379,2013-06-14,45,Single,1,30822,51,5,1,2015-01-01,566
380,2013-08-01,45,relationship,2,33581,17,4,1,2015-01-01,518
381,2013-11-14,29,relationship,1,19986,22,4,1,2015-01-01,413
382,2012-12-12,60,Single,0,27421,324,14,3,2015-01-01,750
383,2012-08-22,41,relationship,3,35688,211,16,7,2015-01-01,862
384,2014-03-30,33,Single,1,36143,19,4,1,2015-01-01,277
385,2013-05-15,43,Single,1,10245,41,8,3,2015-01-01,596
386,2013-10-16,46,relationship,1,43795,492,17,3,2015-01-01,442
387,2012-05-10,54,relationship,1,63381,1005,26,4,2015-01-01,966
388,2012-08-30,65,relationship,1,38823,114,7,1,2015-01-01,854
389,2013-08-05,46,Single,2,83664,1173,19,3,2015-01-01,514
390,2014-03-01,35,relationship,0,90300,1738,19,0,2015-01-01,306
391,2013-09-12,35,relationship,1,62499,222,12,2,2015-01-01,476
392,2014-04-05,21,Single,0,74293,1127,16,1,2015-01-01,271
393,2013-04-18,68,relationship,0,51012,209,10,1,2015-01-01,623
394,2014-02-25,46,relationship,1,70777,787,23,3,2015-01-01,310
395,2013-06-10,23,relationship,0,68682,1598,24,1,2015-01-01,570
396,2012-09-15,43,relationship,2,43824,186,12,4,2015-01-01,838
397,2012-08-31,30,relationship,1,15345,47,6,2,2015-01-01,853
398,2012-12-24,27,Single,1,23442,27,5,1,2015-01-01,738
399,2012-09-11,34,relationship,1,14515,96,11,4,2015-01-01,842
400,2013-03-23,58,Single,2,31395,64,10,4,2015-01-01,649
401,2012-09-27,49,relationship,0,75276,1040,23,1,2015-01-01,826
402,2013-08-15,40,Single,2,42373,163,13,5,2015-01-01,504
403,2013-11-03,54,relationship,0,30507,343,11,1,2015-01-01,424
404,2013-10-22,59,Single,3,55521,446,24,9,2015-01-01,436
405,2014-09-06,49,relationship,2,48006,41,5,1,2015-01-01,117
406,2012-08-30,42,Single,1,27213,70,9,3,2015-01-01,854
407,2014-05-30,43,Single,2,65808,272,14,3,2015-01-01,216
408,2013-06-06,40,relationship,1,30351,46,6,1,2015-01-01,574
409,2012-10-17,51,relationship,2,50437,490,19,3,2015-01-01,806
